"item"	"group1"	"vars"	"n"	"mean"	"sd"	"median"	"trimmed"	"mad"	"min"	"max"	"range"	"skew"	"kurtosis"	"se"
"Unassigned1"	"7"	"ADI1x"	3	3	1.39613422466667	0.126528122787455	1.361324593	1.39613422466667	0.1047753153132	1.290654611	1.53642347	0.245768859	0.254291089829028	-2.33333333333333	0.073051045751395
"Unassigned2"	"8"	"ADI2x"	3	3	0.378547103	0.118228504790957	0.326567164	0.378547103	0.0464842661808	0.295213956	0.513860189	0.218646233	0.354671878879763	-2.33333333333333	0.068259259066946
"Unassigned3"	"9"	"Ctrl"	3	3	1.76473759166667	0.355146547678236	1.574556388	1.76473759166667	0.0435508812942	1.545181721	2.174474666	0.629292945	0.381939975580533	-2.33333333333333	0.205043954903796
"Bacteroidetes1"	"10"	"ADI1x"	4	3	42.4440992633333	7.10678155677044	42.29159803	42.4440992633333	10.195547282718	35.4147956	49.62590416	14.21110856	0.021448669832278	-2.33333333333333	4.10310224487328
"Bacteroidetes2"	"11"	"ADI2x"	4	3	65.3019299433333	3.09639775506776	64.54447761	65.3019299433333	2.802021456108	62.65454003	68.70677219	6.05223216	0.229985248518772	-2.33333333333333	1.78770607740652
"Bacteroidetes3"	"12"	"Ctrl"	4	3	26.5797942033333	3.41022820630201	28.42078516	26.5797942033333	0.375243420971997	22.64471407	28.67388338	6.02916931	-0.382516419090147	-2.33333333333333	1.96889617290652
"Firmicutes1"	"13"	"ADI1x"	5	3	55.66589576	7.09288338732097	55.80329294	55.66589576	10.208871468222	48.50531193	62.68908241	14.18377048	-0.019363863111613	-2.33333333333333	4.09507813300039
"Firmicutes2"	"14"	"ADI2x"	5	3	34.31872776	3.21183000193059	35.12895522	34.31872776	2.844968879172	30.77936762	37.04786044	6.26849282	-0.236210235122144	-2.33333333333333	1.85435091620594
"Firmicutes3"	"15"	"Ctrl"	5	3	18.2092657933333	5.43748895815693	18.43772498	18.2092657933333	7.548212260092	12.661148	23.5289244	10.8677764	-0.041941397509692	-2.33333333333333	3.13933571370752
"Proteobacteria1"	"16"	"ADI1x"	6	3	0	0	0	0	0	0	0	0	NA	NA	0
"Proteobacteria2"	"17"	"ADI2x"	6	3	0	0	0	0	0	0	0	0	NA	NA	0
"Proteobacteria3"	"18"	"Ctrl"	6	3	0	0	0	0	0	0	0	0	NA	NA	0
"Tenericutes1"	"19"	"ADI1x"	7	3	0.483648713333333	0.106475525454981	0.507459313	0.483648713333333	0.1019195593626	0.367283713	0.576203114	0.208919401	-0.212442011670433	-2.33333333333333	0.06147367328354
"Tenericutes2"	"20"	"ADI2x"	7	3	0.000397594666667	0.000688654163485	0	0.000397594666667	0	0	0.001192784	0.001192784	0.384900179459751	-2.33333333333333	0.000397594666667
"Tenericutes3"	"21"	"Ctrl"	7	3	0.209040903666667	0.16173400385534	0.269267592	0.209040903666667	0.093037456953	0.025834622	0.332020497	0.306185875	-0.320743882908181	-2.33333333333333	0.093377170662997
"Verrucomicrobia1"	"22"	"ADI1x"	8	3	0.010222034	0.016505937025049	0.001401846	0.010222034	0.0020783768796	0	0.029264256	0.029264256	0.381779175572766	-2.33333333333333	0.009529707184639
"Verrucomicrobia2"	"23"	"ADI2x"	8	3	0.000397594666667	0.000688654163485	0	0.000397594666667	0	0	0.001192784	0.001192784	0.384900179459751	-2.33333333333333	0.000397594666667
"Verrucomicrobia3"	"24"	"Ctrl"	8	3	53.2371615033333	2.82196538260016	52.01191221	53.2371615033333	1.15197907322399	51.23491297	56.46465933	5.22974636	0.352333029185269	-2.33333333333333	1.62926247328801
"FirmicutesonBacteroidetesratio1"	"25"	"ADI1x"	9	3	1.35568209175802	0.397596919821733	1.3194888710617	1.35568209175802	0.507152482764524	0.977419207791417	1.77013819642093	0.792718988629516	0.090275617452782	-2.33333333333333	0.229552688688044
"FirmicutesonBacteroidetesratio2"	"26"	"ADI2x"	9	3	0.527848303804863	0.073056872634444	0.544259656608599	0.527848303804863	0.069747477398938	0.447981569195006	0.591303685610985	0.143322116415979	-0.21330230075788	-2.33333333333333	0.042179405081648
"FirmicutesonBacteroidetesratio3"	"27"	"Ctrl"	9	3	0.70978158760335	0.303386127096357	0.648740873139199	0.70978158760335	0.307171116600569	0.441556793414007	1.03904709625684	0.597490302842837	0.193053471170603	-2.33333333333333	0.17516006214748
